pattern,category,priority
ZOHA ALIKHAN,Kids,15
YOUTUBEPREMIUM,Streaming Services,15
YAHYA ALIKHAN,Kids,15
VIZARATH ALIKHAN,Personal Care,15
VIRGIN MONEY,Debt repayment,15
UZMA,Kids,15
TV LICENCE MBP,Streaming Services,15
THE BIKE CLUB LTD,Ayyub,15
MICROSOFT,Tech Spend,15
MBNA LIMITED,Debt repayment,15
MBNA CREDIT CARD,Debt repayment,15
"LONDON BOROUGH OF , WALT",Parking,15
IONOS,Tech Spend,15
INTERACTIVE INVEST,Investments,15
HMRC NDDS,Debt repayment,15
GOCARDLESS,Charity,15
GIFFGAFF,Phone,15
CREATION,Debt repayment,15
COMPANIESHOUSE,Clearthread,15
COMMUNITYFIBRE,Broadband,15
CLEARTHREAD STARLI,Clearthread,15
BLUE SQUARE OFFICE,Clearthread,15
ADVANTIS CREDIT L,Debt repayment,15
tayyabs,Entertainment,10
skool.com,Tech Spend,10
baitulmaal,Charity,10
ZETTLE,Dining Out,10
ZETEO,Education,10
ZARA,Clothing,10
YOURPARKINGSPACE,Parking,10
YOURPARKING,Parking,10
YALLOP,Dining Out,10
WWW AMAZON,Shopping,10
WORLD CARE,Charity,10
WOOD STREET SUPERMARKE,Groceries,10
WOOD STREET,Groceries,10
WISPR,Tech Spend,10
WING STOP,Dining Out,10
WHITE COMPANY,Shopping,10
WH SMITH,Shopping,10
WESTFIELD,Shopping,10
WELCOME BREAK,Dining Out,10
WELCOME,Dining Out,10
WE BROTHERS,Shopping,10
WB MUSKHAM,Public Transport,10
WATERSTONES,Education,10
WATAN RESTAURANT,Dining Out,10
WASABI,Dining Out,10
WAITROSE,Groceries,10
WAGE,Salary,10
WAGAMAMA,Restaurants,10
VODAFONE,Phone,10
VIRGIN MEDIA,Internet,10
UNIQLO,Clothing,10
UBER,Public Transport,10
U22 ON THE WHARF,Dining Out,10
TTC DRIVER,Public Transport,10
TST-WAHACA,Dining Out,10
TST-SNOWFLAKE,Dining Out,10
TRAINLINE,Public Transport,10
TK MAXX,Shopping,10
TIAN TIAN MARKET,Groceries,10
THUNDERBIRD CANARY,Dining Out,10
THREE,Phone,10
THE WORKS,Shopping,10
THE PEARL SUITE,Dining Out,10
THE FOREST CINEMA,Entertainment,10
THE DONUT STOP,Dining Out,10
THE COD FATHER,Dining Out,10
THAMES WATER,Utilities,10
THAIKHUN GLASGOW,Dining Out,10
THAIKHUN,Dining Out,10
TFL,Public Transport,10
TEXACO,Fuel/Petrol,10
TESCO,Groceries,10
TAYYAB SHEESH,Dining Out,10
TARIQ HALAL MEAT,Groceries,10
TACO AND BUNS,Dining Out,10
SUPERDRUG,Pharmacy,10
SUMUP *SHA MINI,Other,10
SUMUP *MATW,Shopping,10
SUMUP *JAMME,Dining Out,10
SUMUP *EVER READY,Vacation,10
SUBWAY,Fast Food,10
STN PC ECOM,Shopping,10
STN AIRPORT TARIFF,Public Transport,10
STEAKOUT SLOUGH,Dining Out,10
STARBUCKS,Coffee/Tea,10
STANSTED PARKING,Parking,10
STANSTED EXPRESS,Public Transport,10
SQ *WAROENG,Dining Out,10
SQ *THE SALAD,Dining Out,10
SQ *PAPER MILL,Shopping,10
SQ *PAELLA SHACK,Dining Out,10
SQ *NAKED CHIPS,Dining Out,10
SQ *MRS CHEW'S,Dining Out,10
SQ *KARAPINCHA,Dining Out,10
SQ *HIBA TABOUN,Dining Out,10
SQ *FLUFFY FLUFFY,Dining Out,10
SQ *CITY HIVE,Dining Out,10
SQ *CHOCOLATINE,Groceries,10
SQ *CHAI GUYS,Dining Out,10
SQ *CAFE RASA,Dining Out,10
SQ *BURNT,Dining Out,10
SPOTIFY,Streaming Services,10
SPORTSDIRECT,Clothing,10
SPAR,Groceries,10
SP TIGO SPORT,Entertainment,10
SP PREPPED,Shopping,10
SP LOLAS CUPCAKES,Dining Out,10
SKY,Subscriptions,10
SKT WELFARE,Charity,10
SHELL,Fuel/Petrol,10
SHAKE SHACK,Dining Out,10
SELECTA,Fast Food,10
SE ONLINE WEB,Other,10
SCREWFIX,Home Maintenance,10
SCOTTISH POWER,Utilities,10
SCOTMID,Groceries,10
SCOTCH CORNER,Public Transport,10
SALARY,Salary,10
SAINSBURY,Groceries,10
RM Autocare,Car,10
RISHIS GLASGOW,Dining Out,10
RISE TECK,Tech Spend,10
RINGGO PARKING,Parking,10
REPLIT,Tech Spend,10
REFUND,Refunds,10
REDBRIDGE PARKS,Entertainment,10
REBEL COFFEE,Dining Out,10
RAINBOW VAPES,Other,10
QURANHIVE,Education,10
QFC CHICKEN,Dining Out,10
Q PARK,Parking,10
PUREGYM,Gym/Fitness,10
PRIME VIDEO,Entertainment,10
"PRIME , VIDEO",Streaming Services,10
PRIMARK,Clothing,10
PRET A MANGER,Coffee/Tea,10
PIZZA EXPRESS,Restaurants,10
PEBBLES ONE,Shopping,10
PAYSTREAM,Salary,10
PAYPAL *TUS TOTAL,Education,10
PAYPAL *PYPL,Debt repayment,10
PAYPAL *IIDR,Other,10
PAYBYPHONE,Parking,10
PALAETTE,Dining Out,10
ORIGINAL DONER,Dining Out,10
OPENAI,Tech Spend,10
OLE AND STEEN,Dining Out,10
OLD STABLES,Dining Out,10
OAKHILL SERVICE,Fuel/Petrol,10
O2,Phone,10
NOW 6D189 ENTERTAI,Entertainment,10
NOVA,Shopping,10
NISA,Groceries,10
NIF,Charity,10
NEXT RETAIL,Clothing,10
NETFLIX,Streaming Services,10
NATIONAL RAIL,Public Transport,10
NANDO,Restaurants,10
NAGINA RESTAURANT,Dining Out,10
MUNCHEEZ,Dining Out,10
MUM LIKES THAI,Entertainment,10
MS Z R BEGUM,Transfers,10
MOTO SAWTRY,Fuel/Petrol,10
MORRISONS,Groceries,10
MINI HIBA,Dining Out,10
MFG TOLL BAR,Car,10
MEISTERLABS,Tech Spend,10
MCGILL S,Public Transport,10
MCDONALD,Fast Food,10
MAXXIS CARS,Fuel/Petrol,10
MATW UK,Other,10
MATALAN,Shopping,10
MARKET HALL CARGO,Dining Out,10
MANUAL,Other,10
MANNYS OF LONDON,Personal Care,10
MADE IN PORTUGAL,Vacation,10
M&S SIMPLY FOOD,Groceries,10
LONDON BOROUGH OF WALT,Council Tax,10
LNER,Public Transport,10
LIVERPOOL ST,Public Transport,10
LIDL,Groceries,10
LENSTORE,Shopping,10
KFC,Fast Food,10
JUST GIVING,Charity,10
JUST EAT,Dining Out,10
JG *HEADWAY,Charity,10
ITSU,Dining Out,10
ISTANBUL,Vacation,10
ISLAMIC RELIEF,Charity,10
INTUIT *QBOOKS,Tech Spend,10
INTAKE 6,Other,10
INSTAGRAM,Other,10
HUMAN APPEAL,Charity,10
HOTEL CHOCOLAT,Shopping,10
HOI CHOI,Dining Out,10
HMSHOST INTL,Dining Out,10
