Establishment,Order_Number,Order_Date,Clean_Product_Name,Clean_Class,Total_Sales_Actual,Net_Sales_Actual,Product_Quantity,Total_Product_Tax,Eat_In_Or_Take_Away,Product Type
Meadowhall,700000001243047160,2025-10-17T19:05:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243047160,2025-10-17T19:05:00.000000,Classic Hot Chocolate,Hot Chocolate,4.58,4.58,1,0.92000000,Eat In,Other
Meadowhall,700000001243047160,2025-10-17T19:05:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243083076,2025-10-17T19:07:00.000000,Snowberry,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Meadowhall,700000001243083076,2025-10-17T19:07:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243098303,2025-10-17T19:11:00.000000,Rainbow Cone,Gelato,5.00,5.00,1,1.00000000,Eat In,Gelato
Meadowhall,700000001243119045,2025-10-17T19:13:00.000000,Water Still,Soft Drinks,1.88,1.88,1,0.37000000,Eat In,Other
Meadowhall,700000001243119045,2025-10-17T19:13:00.000000,Snowberry,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Meadowhall,700000001243124148,2025-10-17T19:15:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243150173,2025-10-17T19:16:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243180580,2025-10-17T19:19:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243314021,2025-10-17T19:22:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243314021,2025-10-17T19:22:00.000000,Dubai Choc Bar,Retail,15.00,15.00,1,0.00000000,Eat In,Other
Meadowhall,700000001243319030,2025-10-17T19:39:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243319030,2025-10-17T19:39:00.000000,Cappuccino,Coffee,3.25,3.25,1,0.65000000,Eat In,Other
Meadowhall,700000001243328423,2025-10-17T19:40:00.000000,Medium Cone,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Meadowhall,700000001243340281,2025-10-17T19:41:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243345433,2025-10-17T19:42:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Meadowhall,700000001243345433,2025-10-17T19:42:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Meadowhall,700000001243345433,2025-10-17T19:42:00.000000,Coke,Soft Drinks,2.46,2.46,1,0.49000000,Eat In,Other
Meadowhall,700000001243360922,2025-10-17T19:44:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243391628,2025-10-17T19:45:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243458133,2025-10-17T19:49:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Meadowhall,700000001243458133,2025-10-17T19:49:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243459449,2025-10-17T19:58:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Meadowhall,700000001243479928,2025-10-17T20:00:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Meadowhall,700000001243513767,2025-10-17T20:01:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Meadowhall,700000001243516078,2025-10-17T20:05:00.000000,Tiramisu Cup,Warm Desserts,7.00,7.00,1,0.00000000,Eat In,Other
Meadowhall,700000001243516078,2025-10-17T20:05:00.000000,Tiramisu Hot Chocolate,Hot Chocolate,5.00,5.00,1,1.00000000,Eat In,Other
Meadowhall,700000001243565376,2025-10-17T20:09:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Meadowhall,700000001243566190,2025-10-17T20:12:00.000000,Snowberry,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Trafford - Zara,700000001246662187,2025-10-18T16:34:00.000000,Small Cone,Gelato Small,12.50,12.50,3,2.50000000,Eat In,Gelato
Trafford - Zara,700000001246665170,2025-10-18T16:35:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246669646,2025-10-18T16:37:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246670871,2025-10-18T16:36:00.000000,Lotus Crepe,Crepes,7.92,7.92,1,1.58000000,Eat In,Other
