Establishment,Order_Number,Order_Date,Clean_Product_Name,Clean_Class,Total_Sales_Actual,Net_Sales_Actual,Product_Quantity,Total_Product_Tax,Eat_In_Or_Take_Away,Product Type
Soho,700000001300678421,2025-11-04T22:58:00.000000,Water Still,Soft Drinks,1.88,1.88,1,0.37000000,Eat In,Other
Soho,700000001300677677,2025-11-04T22:56:00.000000,Small Cup,Gelato Small,4.33,4.33,1,0.87000000,Eat In,Gelato
Soho,700000001300677116,2025-11-04T22:55:00.000000,Small Cup,Gelato Small,4.33,4.33,1,0.87000000,Eat In,Gelato
Soho,700000001300675946,2025-11-04T22:55:00.000000,Medium Cup,Gelato Medium,5.17,5.17,1,1.03000000,Eat In,Gelato
Soho,700000001300671402,2025-11-04T22:42:00.000000,Medium Cup,Gelato Medium,10.33,10.33,2,2.07000000,Eat In,Gelato
Soho,700000001300664673,2025-11-04T22:32:00.000000,Small Cup,Gelato Small,4.33,4.33,1,0.87000000,Eat In,Gelato
Soho,700000001300662285,2025-11-04T22:27:00.000000,Medium Cone,Gelato Medium,5.17,5.17,1,1.03000000,Eat In,Gelato
Soho,700000001300658493,2025-11-04T22:25:00.000000,Large Cup,Gelato Large,6.00,6.00,1,1.20000000,Eat In,Gelato
Soho,700000001300660189,2025-11-04T22:25:00.000000,Small Cup,Gelato Small,13.00,13.00,3,2.60000000,Eat In,Gelato
Trafford - Zara,700000001300659112,2025-11-04T22:24:00.000000,Dubai Chocolate Stick,Gelato Treats,12.50,12.50,2,2.50000000,Eat In,Gelato
